|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
|  940628 |  2.69403667087 |   0.213111916768 |      89.1202972302 |                      0.0 |  4.36720038482e+51 |          4.328454054e+50 |
| 940708B | 0.713017058771 |  0.0387695043964 |      34.8063220846 |                      0.0 |  2.32026101585e+50 |        9.02170379892e+48 |
|  940712 |  5.81806759878 |   0.185081184968 |      231.192444765 |                      0.0 |    6.437953626e+52 |        3.00242364845e+51 |
| 940714A |  4.53705491675 |    0.11103648571 |      270.449428344 |                      0.0 |   5.8961080992e+52 |         2.0313065731e+51 |
| 940717A | 0.457014524345 | 0.00287952503799 |      110.986060896 |                      0.0 |  1.28678361136e+51 |        4.36903635582e+48 |
|  940724 |  2.56203536405 |  0.0651660706232 |      182.620696895 |                      0.0 |  1.40737265308e+52 |        4.42339349883e+50 |
|  940808 |  4.36005316443 |  0.0219714264778 |      688.714341032 |                      0.0 |  2.77777451047e+53 |        1.95618220835e+51 |
|  940809 |  1.91702897849 |  0.0570064817564 |      117.386460609 |                      0.0 |  4.67340895538e+51 |        1.56906321542e+50 |
|  940811 |  3.94404904599 |    0.10275014679 |      199.976727368 |                      0.0 |  2.88950431244e+52 |        1.03168279268e+51 |
| 940812A |  1.35102337503 |  0.0421612209237 |      97.8421534787 |                      0.0 |  2.36013890405e+51 |        7.27138190375e+49 |
|  940825 |  2.45403429484 |   0.148223807612 |      94.8735378099 |                      0.0 |  4.33189844301e+51 |        3.19368990839e+50 |
|  940831 |  3.15604124471 |  0.0742196078734 |      217.618216704 |                      0.0 |  2.47963401698e+52 |        7.60763296702e+50 |
| 940902A | 0.889018801188 | 0.00652748697674 |      191.045939028 |                      0.0 |  5.11917524495e+51 |        3.03901532491e+49 |
|  940918 |  2.53303507695 |  0.0240260963411 |      333.634819206 |                      0.0 |   3.9068829208e+52 |        4.56445385818e+50 |
| 941003A |  3.32704293763 |  0.0205148182566 |      442.279417595 |                      0.0 |  8.98371752695e+52 |         7.3173818128e+50 |
| 941005B |  3.48604451175 |   0.134489731773 |      130.569746826 |                      0.0 |  1.17557917941e+52 |        6.05481104078e+50 |
| 941031A |  0.80401795968 |   0.028990847397 |      48.5854397807 |                      0.0 |  4.49875426282e+50 |        1.24203971748e+49 |
| 941110B |  2.94103911619 |  0.0611839079062 |      181.848993143 |                      0.0 |  1.66190639823e+52 |        4.43257595737e+50 |
