|         name |       pseudo z |  pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| GRB101204343 |   1.0250201476 |  0.349156698161 |           365.3169 |                 204.9543 |  1.20685545444e+52 |         7.9589861476e+51 |
| GRB101129726 |  1.69402677077 |  0.478541870226 |           1266.116 |                 650.8138 |  8.66681883624e+52 |         7.1705386625e+52 |
| GRB101129652 |  1.45502440464 |  0.250062648571 |           1261.806 |                 346.7715 |  7.66843572625e+52 |        3.14872698331e+52 |
| GRB101104810 |  1.41002395914 |  0.479177805062 |           648.6932 |                 346.7724 |  3.16748616602e+52 |        2.48585944821e+52 |
| GRB101031625 |   1.0220201179 |  0.284165837655 |           340.0269 |                 126.4178 |  1.33463528144e+52 |        6.13893551203e+51 |
| GRB101027230 |  1.27202259293 |  0.557036485889 |           257.9423 |                 175.1204 |  1.02779092869e+52 |        9.58143023313e+51 |
| GRB101026034 | 0.517015118351 |  0.158816870909 |           123.3296 |                 60.93035 |   2.4131476023e+51 |        9.73216591527e+50 |
| GRB100827455 | 0.872018632886 |  0.118808226416 |           814.1667 |                 169.3599 |  3.15671898133e+52 |        7.12339996051e+51 |
| GRB100811108 |  0.90901899919 |  0.113571442076 |           998.6711 |                 186.9153 |  4.22942965583e+52 |        8.84269781139e+51 |
| GRB100805300 | 0.594015880659 |  0.111544985087 |           205.7558 |                 46.49693 |  5.50238548347e+51 |        1.15259136999e+51 |
| GRB100629801 | 0.693016860769 |  0.121939198921 |           232.0026 |                 49.90794 |  6.91127209232e+51 |        1.49182596108e+51 |
| GRB100625773 | 0.633016266763 |   0.13455018606 |           328.4625 |                 101.6235 |  9.02176310174e+51 |        2.56289502678e+51 |
| GRB100616773 |   1.0040199397 |  0.304104195328 |           212.6343 |                 65.46827 |  7.54626580592e+51 |        3.08639454413e+51 |
| GRB100612545 | 0.835018266583 |  0.184917770025 |            505.342 |                 169.7767 |  1.58669888781e+52 |         5.6461760354e+51 |
| GRB100525744 |  0.70501697957 |  0.296671130964 |           154.8935 |                 106.8152 |  3.49619272569e+51 |        2.28580501317e+51 |
| GRB100516396 |  1.19502183062 |  0.340625033895 |           168.1065 |                 43.80614 |  5.41979345669e+51 |         2.1961997515e+51 |
| GRB100417166 |  1.33602322653 |  0.453927613884 |           300.4486 |                  142.418 |  1.38483399323e+52 |        9.59996201725e+51 |
| GRB100328141 | 0.900018910089 |  0.155994677116 |           491.7723 |                 111.0904 |  1.89077406586e+52 |        4.91302259799e+51 |
| GRB100301068 |  1.19202180092 |  0.303838729789 |           544.4701 |                 209.1449 |  2.53112045879e+52 |        1.28777996019e+52 |
| GRB100216422 |  1.33002316713 |  0.582970087613 |           509.7542 |                 382.3851 |  1.75177877932e+52 |        1.81295118943e+52 |
| GRB100208386 |  1.58102565206 |  0.639639669059 |           671.4008 |                  449.073 |  3.08295231774e+52 |        3.23876567992e+52 |
| GRB100206563 | 0.695016880569 | 0.0972521779681 |           566.0923 |                 117.2836 |  1.81582927602e+52 |        3.61549894983e+51 |
