|    name |                T-time | T90 [s] | T90_error [s] |    flux | flux_error |  fluence_1 | fluence_1_error |  fluence_2 | fluence_2_error |  fluence_3 | fluence_3_error |  fluence_4 | fluence_4_error |
| 930104B | 1993-01-04 01:00:01.8 |    0.64 |         0.286 |   0.444 |      0.107 |        0.0 |      7.4679e-09 | 1.3331e-08 |      6.8483e-09 | 1.0601e-07 |      1.6151e-08 | 4.5722e-07 |       1.505e-07 |
| 930110B | 1993-01-10 06:22:34.4 |   0.401 |         0.061 |   0.765 |      0.056 | 1.5249e-08 |      2.8698e-09 | 2.4689e-08 |      3.0444e-09 | 1.6213e-07 |      8.7291e-09 |  1.882e-07 |      8.2546e-08 |
| 930110A | 1993-01-10 01:51:38.7 |   0.223 |         0.013 |   2.501 |      0.069 | 4.0941e-08 |      1.9922e-09 | 8.5848e-08 |      2.8525e-09 | 5.2013e-07 |      1.0402e-08 | 3.9092e-06 |      2.1379e-07 |
| 930113B | 1993-01-13 15:30:58.9 |    0.09 |         0.029 |   0.217 |      0.048 | 3.8026e-09 |      1.3406e-09 | 1.1093e-08 |      1.5874e-09 | 4.0402e-08 |      4.5416e-09 |        0.0 |      1.0989e-07 |
|  930124 | 1993-01-24 18:16:58.2 |   0.768 |         0.405 |   0.236 |      0.046 |  3.389e-09 |      2.2926e-09 |  9.861e-09 |      2.6056e-09 | 4.6064e-08 |      7.2375e-09 | 1.3044e-07 |      9.5889e-08 |
|  930125 | 1993-01-25 20:45:40.9 |   0.248 |          0.04 |     0.3 |      0.064 | 5.0523e-09 |      1.6605e-09 | 6.0834e-09 |      1.9797e-09 | 7.3025e-08 |      6.5513e-09 | 2.8694e-07 |      1.7193e-07 |
| 930201A | 1993-02-01 13:51:32.2 |   0.708 |          0.08 |    0.73 |      0.054 | 1.4707e-08 |      2.6685e-09 | 1.8595e-08 |      2.9228e-09 | 1.6836e-07 |      8.6588e-09 | 7.1294e-07 |      1.4265e-07 |
| 930203B | 1993-02-03 01:02:51.8 |   0.051 |         0.018 |   0.161 |      0.045 | 2.7688e-09 |      7.1249e-10 | 2.1286e-09 |      7.6598e-10 | 1.1008e-08 |      2.2112e-09 |        0.0 |      6.0732e-08 |
| 930203A | 1993-02-03 11:22:28.8 |   0.177 |         0.083 |   0.187 |      0.053 | 2.1318e-09 |      1.7628e-09 | 5.7399e-09 |      1.7067e-09 | 4.6474e-08 |      4.8867e-09 | 1.4651e-07 |      1.0955e-07 |
| 930204A | 1993-02-04 22:32:49.5 |   0.391 |         0.023 |   0.436 |      0.055 | 6.4537e-09 |      2.7889e-09 |  1.762e-08 |      3.1063e-09 |  8.655e-08 |      8.5617e-09 | 3.3112e-07 |      1.0926e-07 |
