|          z_sim |      L_cut__BATSE |      L_cut__Fermi |      L_cut__Swift |       L_cut__CZTI |
|  15.6156240541 | 9.59133926608e+53 |  3.8139068233e+53 | 1.21474668498e+54 | 9.73628921773e+54 |
|  15.7157241441 | 9.83216071887e+53 | 3.87738805412e+53 | 1.24351429598e+54 |  9.9806863075e+54 |
|  15.8158242342 |  1.0077661742e+54 | 3.94155804005e+53 | 1.27281459194e+54 | 1.02298342693e+55 |
|  15.9159243243 | 1.03279037764e+54 | 4.00642085862e+53 | 1.30265482076e+54 | 1.04837955181e+55 |
|  16.0160244144 |  1.0582948476e+54 | 4.07198060315e+53 | 1.33304228181e+54 | 1.07426322911e+55 |
|  16.1161245045 | 1.08428576644e+54 | 4.13824138281e+53 | 1.36398433994e+54 | 1.10064085875e+55 |
|  16.2162245946 | 1.11076933836e+54 | 4.20520731533e+53 | 1.39548841469e+54 | 1.12751862403e+55 |
|  16.3163246847 | 1.13775178025e+54 | 4.27288253147e+53 | 1.42756198628e+54 | 1.15490288287e+55 |
|  16.4164247748 | 1.16523933939e+54 | 4.34127117074e+53 | 1.46021259137e+54 |  1.1827999685e+55 |
|  16.5165248649 | 1.19323825169e+54 | 4.41037739591e+53 | 1.49344782163e+54 | 1.21121622859e+55 |
|   16.616624955 | 1.22175478526e+54 | 4.48020536818e+53 | 1.52727533871e+54 | 1.24015802392e+55 |
|   16.716725045 | 1.25079521267e+54 | 4.55075926292e+53 | 1.56170285023e+54 | 1.26963173153e+55 |
|  16.8168251351 | 1.28036581837e+54 | 4.62204327741e+53 | 1.59673812193e+54 | 1.29964372126e+55 |
|  16.9169252252 | 1.31047289598e+54 |  4.6940616076e+53 | 1.63238897943e+54 |  1.3302003897e+55 |
|  17.0170253153 | 1.34112274421e+54 | 4.76681847207e+53 | 1.66866330708e+54 | 1.36130813634e+55 |
|  17.1171254054 | 1.37232166819e+54 | 4.84031809905e+53 |  1.7055690403e+54 | 1.39297335962e+55 |
|  17.2172254955 | 1.40407597675e+54 | 4.91456472428e+53 | 1.74311417279e+54 | 1.42520246634e+55 |
|  17.3173255856 | 1.43639198099e+54 | 4.98956257535e+53 | 1.78130675582e+54 | 1.45800186381e+55 |
|  17.4174256757 | 1.46927599233e+54 | 5.06531596704e+53 | 1.82015489517e+54 | 1.49137795748e+55 |
|  17.5175257658 | 1.50273432213e+54 | 5.14182912776e+53 | 1.85966674348e+54 | 1.52533715519e+55 |
|  17.6176258559 | 1.53677328043e+54 | 5.21910635204e+53 | 1.89985052388e+54 | 1.55988585955e+55 |
